"Категория","Конкретные данные","Место хранения (TO-BE)","Способ защиты","Алгоритм/Стандарт","Ключ/Параметры","Кто имеет доступ (после защиты)"
"PII (идентификаторы)","ФИО","PostgreSQL PII","Псевдонимизация + токенизация","HMAC-SHA256 + соль","Отдельный ключ на пациента","Ресепшен (ограниченно), врач (свои), пациент (своё)"
"PII (идентификаторы)","Телефон, email","PostgreSQL PII","Шифрование AES-256-GCM","AES-256-GCM с IV","Ключ из Vault, ротация 90 дней","Система уведомлений, пациент"
"PII (идентификаторы)","СНИЛС, паспорт","PostgreSQL PII","Обфускация (маскирование)","XXX-XXX-XXX XX","Показать последние 4 цифры","Только кадровая служба"
"Special PII","Диагнозы (МКБ-10)","PostgreSQL Medical","Шифрование + RLS","AES-256-GCM","Ключ отдельный от PII","Врач (свои пациенты), пациент (свои)"
"Special PII","Хронические заболевания","PostgreSQL Medical","Шифрование + аудит","AES-256-GCM","Отдельный ключ","Врач + аудиторская запись"
"Special PII","Генетические данные","PostgreSQL Medical","Шифрование + согласие","AES-256-GCM","Отдельный ключ + триггер","Только лечащий врач, разовое согласие"
"Special PII","ВИЧ/гепатиты","PostgreSQL Medical","Шифрование + маскирование","AES-256-GCM + data masking","Маскировка для отчётов","Врач, анонимно для BI"
"Биометрия","Фото пациента","MinIO (S3)","Шифрование + раздельное хранение","AES-256","Ключ шифрования файла","Пациент, врач (свои)"
"Биометрия","Скан паспорта","MinIO (S3)","Шифрование + срок хранения","AES-256","Автоудаление через 30 дней","Кадровая служба"
"Медицинские","Результаты анализов","PostgreSQL Medical + MinIO","Шифрование при хранении","AES-256-GCM","Ключ из Vault","Врач, пациент, лаборатория (маскированно)"
"Медицинские","Рост, вес, давление","PostgreSQL Medical","Обычное шифрование (низкая чувствительность)","AES-128","Стандартный ключ","Врач, пациент, BI (обезличенно)"
"Финансовые","Номер карты","Не хранится (токен в ПШ)","Токенизация","Токен PCI DSS","Токен вместо карты","Только платёжный шлюз"
"Финансовые","Сумма, дата платежа","PostgreSQL Finance","Шифрование + аудит","AES-256-GCM","Ключ финансового отдела","Бухгалтер, кассир"
"Финансовые","Чеки","MinIO (S3)","Шифрование + электронная подпись","AES-256 + ЭЦП","Ключ КЭП","Пациент, бухгалтер"
"Договорные","Скан договора","MinIO (S3)","Шифрование + контроль версий","AES-256","Ключ + bucket policy","Пациент, ресепшен (просмотр), юрист"
"Логи аудита","Все действия с ПД","ELK (Elasticsearch)","Хеширование + неизменяемость","SHA-256 + WORM","Хеш в blockchain?","Только DLP и Security Officer"
"Обезличенные","Агрегаты для ML","Озеро данных (MinIO)","Обезличивание (удаление ФИО)","k-анонимность, l-разнообразие","Уровень k=5","Любой аналитик, BI-система"
"Ключи шифрования","Мастер-ключи","Hashicorp Vault","Аппаратная защита + ротация","HSM + AES-256","Ротация каждые 90 дней","Только Security Administrator"
"Согласия","Электронные подписи","PostgreSQL + Blockchain","Хеширование + timestamp","SHA-256 + GPG","Привязка к пациенту","Пациент, суд (при споре)"
